번호,분류,우선순위,중국어,병음,뜻,품사
7,01 문장 뼈대: 조사·접속사·부사·의문사,1순위,不,bù,부정부사,(부)
15,01 문장 뼈대: 조사·접속사·부사·의문사,1순위,的,de,관형어구조조사,(조)
21,01 문장 뼈대: 조사·접속사·부사·의문사,1순위,都,dōu,모두,(부)
36,01 문장 뼈대: 조사·접속사·부사·의문사,1순위,和,hé,~와,(접)
38,01 문장 뼈대: 조사·접속사·부사·의문사,1순위,很,hěn,"매우, 대단히",(부)
54,01 문장 뼈대: 조사·접속사·부사·의문사,1순위,了,le,변화.완료 조사,(조)
59,01 문장 뼈대: 조사·접속사·부사·의문사,1순위,吗,ma,의문어기조사,(조)
64,01 문장 뼈대: 조사·접속사·부사·의문사,1순위,没,méi,없다 /(부)~않다,(동)
69,01 문장 뼈대: 조사·접속사·부사·의문사,1순위,那,nà,저것,(대)
70,01 문장 뼈대: 조사·접속사·부사·의문사,1순위,哪,nǎ,"무엇, 어느 것",(대)
71,01 문장 뼈대: 조사·접속사·부사·의문사,1순위,呢,ne,의문.지속 어기조사,(조)
72,01 문장 뼈대: 조사·접속사·부사·의문사,1순위,能,néng,~할 수 있다,(동)
107,01 문장 뼈대: 조사·접속사·부사·의문사,1순위,太,tài,"대단히, 매우",(부)
140,01 문장 뼈대: 조사·접속사·부사·의문사,1순위,怎么,zěnme,어떻게. 어째서,(대)
141,01 문장 뼈대: 조사·접속사·부사·의문사,1순위,怎么样,zěnmeyàng,어떠하다,(대)
142,01 문장 뼈대: 조사·접속사·부사·의문사,1순위,这,zhè,이것,(대)
151,01 문장 뼈대: 조사·접속사·부사·의문사,1순위,吧,ba,청유.명령 등의 / 어기조사,(조)
156,01 문장 뼈대: 조사·접속사·부사·의문사,1순위,比,bǐ,~보다,(개)
157,01 문장 뼈대: 조사·접속사·부사·의문사,1순위,别,bié,이별하다,(동)
164,01 문장 뼈대: 조사·접속사·부사·의문사,1순위,从,cóng,~로부터,(개)
168,01 문장 뼈대: 조사·접속사·부사·의문사,1순위,但是,dànshì,"그러나, 그렇지만",(접)
170,01 문장 뼈대: 조사·접속사·부사·의문사,1순위,得,de,가능.정도 구조조사,(조)
182,01 문장 뼈대: 조사·접속사·부사·의문사,1순위,给,gěi,~에게~을 주다 / /(개)~에게,(동)
187,01 문장 뼈대: 조사·접속사·부사·의문사,1순위,过,guo,~한 적이 있다,(조)
188,01 문장 뼈대: 조사·접속사·부사·의문사,1순위,还,hái,"역시, 아직, 더",(부)
210,01 문장 뼈대: 조사·접속사·부사·의문사,1순위,可能,kěnéng,아마도,(부)
211,01 문장 뼈대: 조사·접속사·부사·의문사,1순위,可以,kěyǐ,~할 수 있다,(조동)
215,01 문장 뼈대: 조사·접속사·부사·의문사,1순위,离,lí,~로부터,(개)
222,01 문장 뼈대: 조사·접속사·부사·의문사,1순위,每,měi,"늘, 항상",(부)
238,01 문장 뼈대: 조사·접속사·부사·의문사,1순위,让,ràng,"~시키다, 양보하다",(동)
248,01 문장 뼈대: 조사·접속사·부사·의문사,1순위,所以,suǒyǐ,그래서,(접)
249,01 문장 뼈대: 조사·접속사·부사·의문사,1순위,它,tā,"(사람이외의) 그, 저",(대)
257,01 문장 뼈대: 조사·접속사·부사·의문사,1순위,为什么,wèishénme,"왜, 어째서",(부)
261,01 문장 뼈대: 조사·접속사·부사·의문사,1순위,向,xiàng,"~을 향해서, ~로",(개)
274,01 문장 뼈대: 조사·접속사·부사·의문사,1순위,要,yào,~하려고 하다 / /(동)원하다,(조동)
275,01 문장 뼈대: 조사·접속사·부사·의문사,1순위,也,yě,~도,(부)
276,01 문장 뼈대: 조사·접속사·부사·의문사,1순위,已经,yǐjing,"이미, 벌써",(부)
278,01 문장 뼈대: 조사·접속사·부사·의문사,1순위,因为,yīnwèi,~때문에,(접)
279,01 문장 뼈대: 조사·접속사·부사·의문사,1순위,一起,yìqǐ,함께,(부)
292,01 문장 뼈대: 조사·접속사·부사·의문사,1순위,着,zhe,진행.지속 조사,(조)
293,01 문장 뼈대: 조사·접속사·부사·의문사,1순위,真,zhēn,"진짜로, 정말로",(부)
294,01 문장 뼈대: 조사·접속사·부사·의문사,1순위,正在,zhèngzài,~하고 있다,(부)
299,01 문장 뼈대: 조사·접속사·부사·의문사,1순위,最,zuì,"가장, 최고",(부)
301,01 문장 뼈대: 조사·접속사·부사·의문사,1순위,啊,a,긍정의미조사,(조)
306,01 문장 뼈대: 조사·접속사·부사·의문사,1순위,把,bǎ,"~을, ~를",(개)
315,01 문장 뼈대: 조사·접속사·부사·의문사,1순위,被,bèi,~에게 ~을 당하다 / /(동)덮다,(개)
327,01 문장 뼈대: 조사·접속사·부사·의문사,1순위,才,cái,"겨우, ~에야 비로소",(부)
339,01 문장 뼈대: 조사·접속사·부사·의문사,1순위,除了,chúle,~을 제외하고,(개)
345,01 문장 뼈대: 조사·접속사·부사·의문사,1순위,当然,dāngrán,"당연하다, 물론이다",(형)
350,01 문장 뼈대: 조사·접속사·부사·의문사,1순위,地,de,부사어구조조사,(조)
364,01 문장 뼈대: 조사·접속사·부사·의문사,1순위,多么,duōme,얼마나,(부)
367,01 문장 뼈대: 조사·접속사·부사·의문사,1순위,而且,érqiě,게다가,(접)
380,01 문장 뼈대: 조사·접속사·부사·의문사,1순위,跟,gēn,~와 /(동)따라가다,(개)
381,01 문장 뼈대: 조사·접속사·부사·의문사,1순위,更,gèng,"더욱, 더",(부)
382,01 문장 뼈대: 조사·접속사·부사·의문사,1순위,根据,gēnjù,~에 근거하여,(개)
388,01 문장 뼈대: 조사·접속사·부사·의문사,1순위,关于,guānyú,~에 관하여,(개)
394,01 문장 뼈대: 조사·접속사·부사·의문사,1순위,还是,háishi,"여전히, 변함없이 / /(접)(의문문)아니면",(부)
400,01 문장 뼈대: 조사·접속사·부사·의문사,1순위,还,huán,"돌려주다, 돌아오다",(동)
406,01 문장 뼈대: 조사·접속사·부사·의문사,1순위,或者,huòzhě,(평서문)아니면,(접)
408,01 문장 뼈대: 조사·접속사·부사·의문사,1순위,极,jí,지극히 /(명)정점,(부)
426,01 문장 뼈대: 조사·접속사·부사·의문사,1순위,几乎,jīhū,거의,(부)
461,01 문장 뼈대: 조사·접속사·부사·의문사,1순위,马上,mǎshàng,"곧, 즉시, 바로",(부)
485,01 문장 뼈대: 조사·접속사·부사·의문사,1순위,其实,qíshí,사실,(부)
486,01 문장 뼈대: 조사·접속사·부사·의문사,1순위,其他,qítā,기타,(대)
489,01 문장 뼈대: 조사·접속사·부사·의문사,1순위,然后,ránhòu,"연후에, 그런 후에",(접)
494,01 문장 뼈대: 조사·접속사·부사·의문사,1순위,如果,rúguǒ,"만약, 만일",(접)
499,01 문장 뼈대: 조사·접속사·부사·의문사,1순위,使,shǐ,~에게 ~시키다,(동)
510,01 문장 뼈대: 조사·접속사·부사·의문사,1순위,虽然,suīrán,비록~하지만,(접)
513,01 문장 뼈대: 조사·접속사·부사·의문사,1순위,特别,tèbié,특별히,(부)
523,01 문장 뼈대: 조사·접속사·부사·의문사,1순위,突然,tūrán,갑자기,(부)
529,01 문장 뼈대: 조사·접속사·부사·의문사,1순위,为,wèi,~을 위하여,(개)
531,01 문장 뼈대: 조사·접속사·부사·의문사,1순위,为了,wèile,~을 위하여,(개)
535,01 문장 뼈대: 조사·접속사·부사·의문사,1순위,先,xiān,먼저,(부)
536,01 문장 뼈대: 조사·접속사·부사·의문사,1순위,像,xiàng,"닮다, 비슷하다",(동)
